"Table 203.30. Public school enrollment in grades 9 through 12, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2025",,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual enrollment,,,,,,,,,,,,,"Percent change in enroll-ment, 2008 to 2013",Projected enrollment,,,,,,"Percent change in enroll-ment, 2013 to 2025"
,Fall 1990,Fall 2000,Fall 2003,Fall 2004,Fall 2005,Fall 2006,Fall 2007,Fall 2008,Fall 2009,Fall 2010,Fall 2011,Fall 2012,Fall 2013,,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2020,Fall 2025,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
   United States ...............,"11,340,769","13,517,118","14,339,474","14,617,900","14,909,336","15,081,091","15,086,478","14,980,008","14,951,722","14,859,651","14,748,918","14,753,225","14,793,730",-1.2,"14,882,600","14,970,400","14,983,400","15,026,300","15,214,600","15,367,900",3.9
,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,
  Northeast .......................,"2,092,968","2,382,157","2,540,754","2,582,165","2,617,205","2,684,160","2,617,622","2,576,761","2,597,949","2,531,059","2,474,807","2,465,820","2,459,228",-4.6,"2,446,900","2,437,000","2,422,000","2,417,300","2,409,200","2,375,100",-3.4
  Midwest .......................,"2,814,260","3,206,741","3,307,398","3,336,735","3,393,507","3,414,670","3,411,182","3,369,582","3,310,212","3,260,270","3,215,000","3,190,746","3,178,779",-5.7,"3,190,900","3,203,300","3,198,300","3,199,500","3,210,600","3,150,700",-0.9
  South .......................,"3,948,216","4,693,085","4,997,566","5,111,827","5,221,330","5,303,937","5,337,728","5,323,790","5,351,246","5,370,447","5,377,721","5,417,092","5,468,585",2.7,"5,548,900","5,623,100","5,652,500","5,674,900","5,756,000","6,002,200",9.8
  West .......................,"2,485,325","3,235,135","3,493,756","3,587,173","3,677,294","3,678,324","3,719,946","3,709,875","3,692,315","3,697,875","3,681,390","3,679,567","3,687,138",-0.6,"3,695,900","3,707,000","3,710,600","3,734,600","3,838,800","3,839,800",4.1
,,,,,,,,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,
  Alabama .......................,"194,709","201,358","205,907","208,383","212,414","214,968","216,941","217,590","219,495","221,940","217,615","217,203","218,705",0.5,"219,600","218,300","216,300","213,700","208,800","211,900",-3.1
  Alaska .........................,"28,606","38,914","40,238","40,989","42,063","42,441","42,049","41,399","40,837","40,114","39,110","38,420","38,230",-7.7,"37,900","37,800","37,500","37,000","38,000","40,100",4.8
  Arizona ......................,"160,807","237,132","307,746","321,095","354,919","308,593","316,391","316,068","317,411","319,759","320,825","321,650","327,165",3.5,"324,300","322,800","321,400","325,100","343,200","359,600",9.9
  Arkansas ........................,"122,781","131,936","133,015","134,928","138,460","139,857","139,096","137,362","136,350","136,306","137,092","138,526","140,270",2.1,"141,000","141,200","141,000","140,500","138,600","143,300",2.2
  California ......................,"1,336,740","1,733,779","1,874,090","1,934,202","1,971,587","1,996,645","2,014,503","2,016,270","1,999,416","1,995,610","1,979,387","1,967,644","1,954,634",-3.1,"1,951,000","1,946,100","1,940,100","1,948,800","1,987,500","1,901,800",-2.7
, , , , , , , , , ,,,,,,,,,,,,
  Colorado .......................,"154,303","207,942","221,368","225,281","229,951","234,985","236,141","238,139","240,990","242,239","243,411","246,051","249,380",4.7,"254,400","259,900","264,400","269,500","280,100","284,700",14.1
  Connecticut .............,"121,727","155,734","169,409","173,221","175,354","177,037","176,592","174,980","174,004","173,071","171,060","170,245","169,038",-3.4,"166,800","165,600","163,400","162,100","157,200","145,500",-13.9
  Delaware .......................,"27,052","33,875","34,770","35,492","36,298","37,258","37,555","38,619","39,091","39,124","38,322","38,022","38,483",-0.4,"38,600","38,900","39,300","40,000","42,300","42,300",10.0
  District of Columbia ...........,"19,412","15,233","18,568","19,596","21,230","20,459","22,586","17,902","17,777","17,736","17,716","17,867","17,774",-0.7,"18,000","18,000","17,800","17,700","18,800","23,900",34.2
  Florida ........................,"491,658","674,919","755,252","781,538","801,629","804,951","810,952","781,725","783,621","784,849","792,054","799,602","807,034",3.2,"817,800","825,600","827,800","826,700","842,000","900,300",11.6
, , , , , , , , , ,,,,,,,,,,,,
  Georgia ........................,"302,605","384,954","419,430","435,058","453,015","462,649","471,012","470,108","472,934","474,588","473,766","481,043","490,032",4.2,"500,100","508,900","512,300","513,200","518,300","537,100",9.6
  Hawaii ...........................,"48,868","52,067","53,555","54,397","55,346","54,720","54,341","53,568","52,719","52,076","51,701","51,170","50,900",-5.0,"51,100","50,700","51,200","52,100","54,200","55,900",9.8
  Idaho ........................,"60,749","74,696","76,696","77,863","79,153","80,375","80,948","81,497","81,571","81,715","81,809","82,631","87,143",6.9,"89,200","92,000","93,500","94,200","100,500","109,400",25.5
  Illinois .........................,"511,891","574,859","608,236","613,859","631,386","640,597","639,896","640,512","640,462","636,861","629,941","624,679","621,531",-3.0,"626,100","629,700","632,700","638,400","649,700","610,000",-1.9
  Indiana ..........................,"278,721","286,006","294,311","301,342","310,607","315,832","317,214","316,126","316,062","317,818","316,160","316,329","316,350",0.1,"316,600","319,400","318,500","315,100","305,700","302,800",-4.3
, , , , , , , , , ,,,,,,,,,,,,
  Iowa ............................,"138,848","161,330","154,395","154,150","157,322","156,904","155,611","151,993","150,509","147,663","145,718","144,784","145,011",-4.6,"146,000","146,500","146,900","147,600","150,900","154,400",6.5
  Kansas ...........................,"117,386","147,453","147,999","147,960","147,012","143,305","141,524","139,981","141,492","140,774","138,979","139,348","140,511",0.4,"142,100","144,100","144,800","146,300","149,900","153,200",9.0
  Kentucky .........................,"177,201","194,421","185,115","189,002","192,449","195,987","196,852","197,826","195,623","192,794","193,531","194,102","192,388",-2.7,"191,900","192,300","190,800","190,900","188,600","185,300",-3.7
  Louisiana .......................,"198,555","196,510","191,319","190,530","172,444","183,735","181,489","180,660","181,032","184,292","184,588","186,111","188,181",4.2,"190,600","192,300","192,600","192,500","189,800","194,700",3.5
  Maine ...........................,"59,946","61,336","62,664","62,545","62,007","61,648","65,503","63,611","60,579","60,148","58,923","57,815","56,924",-10.5,"56,400","55,700","54,700","54,000","53,300","50,400",-11.5
, , , , , , , , , ,,,,,,,,,,,,
  Maryland ........................,"188,432","243,877","263,251","268,144","271,449","272,575","269,221","267,388","266,627","264,055","259,870","256,836","253,589",-5.2,"253,200","252,800","254,900","258,400","270,000","284,100",12.0
  Massachusetts ...................,"230,080","272,575","288,329","293,399","296,511","298,033","296,032","292,372","290,502","289,161","287,055","287,506","287,478",-1.7,"288,100","288,400","286,900","286,700","283,800","275,700",-4.1
  Michigan .....................,"439,553","498,144","528,483","539,592","550,885","552,098","555,916","541,352","534,471","511,483","502,664","493,440","488,776",-9.7,"487,800","485,600","478,800","473,700","459,700","436,600",-10.7
  Minnesota ......................,"210,818","276,574","278,805","280,056","281,486","282,120","279,398","275,864","272,392","268,074","264,194","262,041","261,409",-5.2,"264,100","266,300","268,700","272,100","286,000","291,200",11.4
  Mississippi .....................,"130,776","133,998","132,659","134,319","136,924","138,644","140,610","140,155","140,829","139,641","137,620","137,286","136,154",-2.9,"136,700","136,400","135,500","133,300","129,700","132,600",-2.6
, , , , , , , , , ,,,,,,,,,,,,
  Missouri ........................,"228,488","267,978","273,714","276,782","282,563","286,078","285,442","282,460","279,900","275,719","271,208","270,370","269,227",-4.7,"269,400","269,000","266,800","265,400","265,300","267,200",-0.8
  Montana ........................,"41,805","49,649","48,196","48,032","47,646","47,397","46,469","45,030","43,939","43,202","42,624","42,089","42,138",-6.4,"41,900","41,900","42,000","42,100","43,600","45,400",7.7
  Nebraska ........................,"76,001","90,713","90,125","90,945","91,591","91,811","91,149","89,678","88,508","88,208","87,792","88,073","88,555",-1.3,"90,100","91,600","93,300","95,000","98,800","95,900",8.3
  Nevada ..........................,"51,435","89,986","104,667","111,330","116,406","121,813","121,789","125,043","123,435","129,852","130,274","131,977","132,591",6.0,"133,100","135,100","136,400","137,400","141,800","153,800",16.0
  New Hampshire ..................,"46,484","61,340","65,386","66,611","67,183","67,384","66,413","64,939","64,372","63,135","62,268","60,805","59,377",-8.6,"58,500","57,500","56,600","55,900","54,000","49,600",-16.4
, , , , , , , , , ,,,,,,,,,,,,
  New Jersey .......................,"306,224","345,872","402,313","417,491","425,010","425,432","427,930","424,655","427,697","421,293","408,855","416,133","413,916",-2.5,"413,700","412,900","411,100","411,100","410,900","405,800",-2.0
  New Mexico ......................,"93,794","95,427","97,034","98,202","97,206","98,129","99,322","98,830","99,076","98,777","97,744","97,242","97,716",-1.1,"98,300","98,800","99,500","99,300","100,000","99,800",2.1
  New York ........................,"770,919","853,282","886,594","893,762","906,553","922,365","909,120","897,512","919,049","865,805","847,144","842,142","847,925",-5.5,"847,300","844,600","841,000","841,700","846,200","854,700",0.8
  North Carolina .................,"303,739","348,168","386,190","400,014","413,318","417,414","417,168","429,719","429,596","432,196","433,801","438,375","441,263",2.7,"446,600","452,700","454,400","455,800","449,900","467,600",6.0
  North Dakota ....................,"32,882","36,780","34,363","33,391","32,645","32,275","31,567","30,773","30,497","30,288","29,758","30,116","30,420",-1.1,"30,500","31,000","31,300","31,900","36,200","42,700",40.5
, , , , , , , , , ,,,,,,,,,,,,
  Ohio .............................,"513,509","541,403","567,226","572,944","578,352","583,529","585,862","577,669","538,951","531,383","522,804","518,617","515,611",-10.7,"515,400","516,300","512,800","510,000","501,600","489,700",-5.0
  Oklahoma ........................,"154,188","177,708","175,850","176,534","177,785","179,447","179,436","177,148","177,840","176,447","175,924","177,339","180,344",1.8,"183,600","186,400","187,900","189,600","194,500","203,300",12.7
  Oregon ...........................,"132,151","166,967","173,221","175,572","172,514","181,998","181,988","179,972","178,388","178,119","176,898","178,239","178,595",-0.8,"178,500","178,900","178,200","178,300","181,400","189,800",6.3
  Pennsylvania .......................,"495,670","556,487","585,522","593,261","603,059","650,986","596,620","580,702","585,547","583,518","566,545","558,945","554,067",-4.6,"546,800","543,400","539,700","536,900","535,100","527,300",-4.8
  Rhode Island .....................,"37,016","43,802","48,166","49,458","49,552","49,616","48,470","47,359","46,934","46,059","45,195","44,672","43,270",-8.6,"42,500","42,400","42,400","43,100","43,100","41,800",-3.5
, , , , , , , , , ,,,,,,,,,,,,
  South Carolina ...................,"170,079","184,185","198,455","199,472","203,514","206,748","207,751","210,511","211,019","210,257","207,797","208,648","211,835",0.6,"216,700","220,800","222,000","222,000","226,200","242,300",14.4
  South Dakota ....................,"33,999","40,765","39,522","38,907","38,482","38,021","38,182","38,952","37,968","38,192","37,487","37,267","36,639",-5.9,"36,800","36,700","36,800","37,100","39,500","42,000",14.7
  Tennessee .....................,"226,484","241,038","261,405","270,211","277,352","286,397","282,508","287,401","285,881","285,715","286,944","281,971","283,888",-1.2,"285,500","286,900","286,800","285,800","288,700","296,400",4.4
  Texas ..........................,"871,932","1,116,572","1,199,167","1,220,980","1,257,055","1,279,727","1,300,148","1,305,637","1,329,862","1,349,106","1,363,618","1,387,513","1,411,436",8.1,"1,447,900","1,487,000","1,507,800","1,529,600","1,580,100","1,659,500",17.6
  Utah ...........................,"121,670","148,381","147,141","148,162","150,786","152,114","165,986","155,309","158,243","160,573","164,296","169,077","174,129",12.1,"179,600","184,600","189,000","193,100","203,900","213,200",22.4
, , , , , , , , , ,,,,,,,,,,,,
  Vermont .........................,"24,902","31,729","32,371","32,417","31,976","31,659","30,942","30,631","29,265","28,869","27,762","27,557","27,233",-11.1,"26,900","26,500","26,200","25,700","25,600","24,400",-10.5
  Virginia .........................,"270,321","329,167","354,834","365,052","372,317","378,755","380,413","380,787","381,320","379,994","376,658","375,975","377,252",-0.9,"381,300","385,300","387,000","388,100","394,800","403,900",7.1
  Washington .......................,"227,112","310,403","322,101","324,600","332,503","331,916","332,840","332,224","329,960","329,616","327,269","327,134","328,068",-1.3,"330,200","331,500","330,500","330,600","335,400","355,700",8.4
  West Virginia ....................,"98,292","85,166","82,379","82,574","83,677","84,366","83,990","83,252","82,349","81,407","80,805","80,673","79,957",-4.0,"79,900","79,300","78,300","77,100","74,900","73,800",-7.7
  Wisconsin ......................,"232,164","284,736","290,219","286,807","291,176","292,100","289,421","284,222","279,000","273,807","268,295","265,682","264,739",-6.9,"266,000","267,200","266,800","266,600","267,300","265,000",0.1
  Wyoming .........................,"27,285","29,792","27,703","27,448","27,214","27,198","27,179","26,526","26,330","26,223","26,042","26,243","26,449",-0.3,"26,600","26,800","26,900","27,300","29,200","30,700",16.0
,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,,,,,,,,,,,,,,,,,,,,,
"  Bureau of Indian 
     Education ........",---,"11,192","12,157","12,157","14,805",---,---,"10,315","9,970","9,977",---,---,---,---,---,---,---,---,---,---,---
"  DoD, overseas ............",---,"14,282","14,827","14,607","13,852","13,302","12,829","12,837",---,---,---,---,---,---,---,---,---,---,---,---,---
"  DoD, domestic .........",---,"3,477","3,103","2,956","2,771","2,579","2,741","2,758",---,---,---,---,---,---,---,---,---,---,---,---,---
  Other jurisdictions, , , , , , , , , , , , , ,,,,,,,,
    American Samoa ...................,"3,073","3,807","4,121","4,253","4,672","4,637",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
    Guam ...........................,"7,115","8,775","9,021","8,919","9,040",---,---,---,---,"10,057","10,020","10,020","10,113",---,---,---,---,---,---,---,---
    Northern Marianas ...............,"1,531","2,195","3,052","3,185","3,291","3,191","3,159","3,097","3,218","3,417","3,308","3,250","3,298",6.5,---,---,---,---,---,---,---
    Puerto Rico .....................,"164,378","167,201","166,267","166,977","164,043","161,491","154,051","148,520","145,755","139,122","133,816","129,561","128,958",-13.2,---,---,---,---,---,---,---
    U.S. Virgin Islands ..................,"5,501","5,549","4,978","4,779","5,022","5,047","5,133","5,201","5,084","4,977","5,135","4,890","4,670",-10.2,---,---,---,---,---,---,---
---Not available.  ,,,,,,,,,,,,,,,,,,,,,
NOTE: DoD = Department of Defense. Detail may not sum to totals because of rounding. Some data have been revised from previously published figures.  ,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Survey of Public Elementary/Secondary Education,"" 1990-91 through 2013-14; and State Public Elementary and Secondary Enrollment Projection Model, 1980 through 2025. (This table was prepared January 2016.)",,,,,,,,,,,,,,,,,,,,,
